step,loss,source
1999,0.0222,notebook
3998,0.0191,notebook
4998,0.0194,notebook
5998,0.0186,notebook
7998,0.0185,notebook
9998,0.0181,notebook
11998,0.0179,notebook
13998,0.0182,notebook
14998,0.0169,notebook
15998,0.0172,notebook
17998,0.0178,notebook
19998,0.0161,notebook
21998,0.017,notebook
23998,0.017,notebook
24998,0.017,notebook
25998,0.0171,notebook
27998,0.0171,notebook
29998,0.0167,notebook
31998,0.018,notebook
33998,0.0172,notebook
34998,0.0167,notebook
35998,0.0173,notebook
37998,0.0181,notebook
39998,0.0168,notebook
41998,0.017,notebook
43998,0.017,notebook
44998,0.0172,notebook
45998,0.0179,notebook
47998,0.0172,notebook
49166,0.0174,notebook
65999,0.0163,terminal
67998,0.0166,terminal
69999,0.0165,terminal
71999,0.0165,terminal
73998,0.0169,terminal
74998,0.0158,terminal
75998,0.0161,terminal
77998,0.0167,terminal
79998,0.0153,terminal
81998,0.0162,terminal
83999,0.0162,terminal
84998,0.0162,terminal
85998,0.0164,terminal
87998,0.0163,terminal
89999,0.016,terminal
91999,0.0174,terminal
93999,0.0166,terminal
94998,0.0161,terminal
95998,0.0167,terminal
